# source	../re.pi@fbd6b5b3a494d6c50bc5415eb3be2e4366470056
# generated-by	docs/migration/manifest/build.py
# phase-prefix	packages/agent/
path	disposition	reason
packages/agent/CHANGELOG.md	transfer	approved package source/test/build input
packages/agent/README.md	rewrite	canonical package documentation
packages/agent/docs/agent-harness.md	rewrite	canonical package documentation
packages/agent/docs/durable-harness.md	exclude	superseded design/migration documentation
packages/agent/docs/harness-v2-test-matrix.md	exclude	superseded design/migration documentation
packages/agent/docs/harness-v2.md	exclude	superseded design/migration documentation
packages/agent/docs/hooks.md	exclude	superseded design/migration documentation
packages/agent/docs/models.md	exclude	superseded design/migration documentation
packages/agent/docs/observability.md	exclude	superseded design/migration documentation
packages/agent/docs/telemetry-schema.md	rewrite	canonical package documentation
packages/agent/package.json	rewrite	package identity/build/publication review
packages/agent/scripts/generate-telemetry-docs.ts	transfer	approved package source/test/build input
packages/agent/src/agent-loop.ts	transfer	approved package source/test/build input
packages/agent/src/agent.ts	transfer	approved package source/test/build input
packages/agent/src/harness/agent-harness.ts	transfer	approved package source/test/build input
packages/agent/src/harness/compaction/branch-summarization.ts	transfer	approved package source/test/build input
packages/agent/src/harness/compaction/compaction.ts	transfer	approved package source/test/build input
packages/agent/src/harness/compaction/utils.ts	transfer	approved package source/test/build input
packages/agent/src/harness/env/nodejs.ts	transfer	approved package source/test/build input
packages/agent/src/harness/messages.ts	transfer	approved package source/test/build input
packages/agent/src/harness/prompt-templates.ts	transfer	approved package source/test/build input
packages/agent/src/harness/recode-harness-journal.ts	transfer	approved package source/test/build input
packages/agent/src/harness/result.ts	transfer	approved package source/test/build input
packages/agent/src/harness/session-v4/context.ts	transfer	approved package source/test/build input
packages/agent/src/harness/session-v4/index.ts	transfer	approved package source/test/build input
packages/agent/src/harness/session-v4/jsonl.ts	transfer	approved package source/test/build input
packages/agent/src/harness/session-v4/jsonl/codec.ts	transfer	approved package source/test/build input
packages/agent/src/harness/session-v4/jsonl/errors.ts	transfer	approved package source/test/build input
packages/agent/src/harness/session-v4/jsonl/repo.ts	transfer	approved package source/test/build input
packages/agent/src/harness/session-v4/jsonl/storage.ts	transfer	approved package source/test/build input
packages/agent/src/harness/session-v4/jsonl/types.ts	transfer	approved package source/test/build input
packages/agent/src/harness/session-v4/memory.ts	transfer	approved package source/test/build input
packages/agent/src/harness/session-v4/reducer.ts	transfer	approved package source/test/build input
packages/agent/src/harness/session-v4/search.ts	transfer	approved package source/test/build input
packages/agent/src/harness/session-v4/session.ts	transfer	approved package source/test/build input
packages/agent/src/harness/session-v4/state.ts	transfer	approved package source/test/build input
packages/agent/src/harness/session-v4/testing/conformance.ts	transfer	approved package source/test/build input
packages/agent/src/harness/session-v4/testing/index.ts	transfer	approved package source/test/build input
packages/agent/src/harness/session-v4/testing/types.ts	transfer	approved package source/test/build input
packages/agent/src/harness/session-v4/types.ts	transfer	approved package source/test/build input
packages/agent/src/harness/session/jsonl-repo.ts	transfer	approved package source/test/build input
packages/agent/src/harness/session/jsonl-storage.ts	transfer	approved package source/test/build input
packages/agent/src/harness/session/memory-repo.ts	transfer	approved package source/test/build input
packages/agent/src/harness/session/memory-storage.ts	transfer	approved package source/test/build input
packages/agent/src/harness/session/repo-utils.ts	transfer	approved package source/test/build input
packages/agent/src/harness/session/session.ts	transfer	approved package source/test/build input
packages/agent/src/harness/session/uuid.ts	transfer	approved package source/test/build input
packages/agent/src/harness/skills.ts	transfer	approved package source/test/build input
packages/agent/src/harness/system-prompt.ts	transfer	approved package source/test/build input
packages/agent/src/harness/telemetry.ts	transfer	approved package source/test/build input
packages/agent/src/harness/tools/bash.ts	transfer	approved package source/test/build input
packages/agent/src/harness/tools/edit-diff.ts	transfer	approved package source/test/build input
packages/agent/src/harness/tools/edit.ts	transfer	approved package source/test/build input
packages/agent/src/harness/tools/file-mutation-queue.ts	transfer	approved package source/test/build input
packages/agent/src/harness/tools/image.ts	transfer	approved package source/test/build input
packages/agent/src/harness/tools/index.ts	transfer	approved package source/test/build input
packages/agent/src/harness/tools/path-utils.ts	transfer	approved package source/test/build input
packages/agent/src/harness/tools/read.ts	transfer	approved package source/test/build input
packages/agent/src/harness/tools/tool-context.ts	transfer	approved package source/test/build input
packages/agent/src/harness/tools/write.ts	transfer	approved package source/test/build input
packages/agent/src/harness/types.ts	transfer	approved package source/test/build input
packages/agent/src/harness/utils/shell-output.ts	transfer	approved package source/test/build input
packages/agent/src/harness/utils/truncate.ts	transfer	approved package source/test/build input
packages/agent/src/index.ts	transfer	approved package source/test/build input
packages/agent/src/iteration-budget.ts	transfer	approved package source/test/build input
packages/agent/src/node.ts	transfer	approved package source/test/build input
packages/agent/src/proxy.ts	transfer	approved package source/test/build input
packages/agent/src/stream-fn.ts	transfer	approved package source/test/build input
packages/agent/src/types.ts	transfer	approved package source/test/build input
packages/agent/test/agent-loop.test.ts	transfer	approved package source/test/build input
packages/agent/test/agent.test.ts	transfer	approved package source/test/build input
packages/agent/test/e2e.test.ts	transfer	approved package source/test/build input
packages/agent/test/harness/agent-harness-stream.test.ts	transfer	approved package source/test/build input
packages/agent/test/harness/agent-harness.test.ts	transfer	approved package source/test/build input
packages/agent/test/harness/compaction.test.ts	transfer	approved package source/test/build input
packages/agent/test/harness/nodejs-env.test.ts	transfer	approved package source/test/build input
packages/agent/test/harness/prompt-templates.test.ts	transfer	approved package source/test/build input
packages/agent/test/harness/repo.test.ts	transfer	approved package source/test/build input
packages/agent/test/harness/resource-formatting.test.ts	transfer	approved package source/test/build input
packages/agent/test/harness/session-test-utils.ts	transfer	approved package source/test/build input
packages/agent/test/harness/session-uuid.test.ts	transfer	approved package source/test/build input
packages/agent/test/harness/session-v4/INACTIVE.md	transfer	approved package source/test/build input
packages/agent/test/harness/session-v4/agent-harness-scaffold.test.ts.inactive	transfer	approved package source/test/build input
packages/agent/test/harness/session-v4/branch-summarization.test.ts.inactive	transfer	approved package source/test/build input
packages/agent/test/harness/session-v4/context.test.ts	transfer	approved package source/test/build input
packages/agent/test/harness/session-v4/jsonl-codec.test.ts	transfer	approved package source/test/build input
packages/agent/test/harness/session-v4/jsonl-storage.test.ts	transfer	approved package source/test/build input
packages/agent/test/harness/session-v4/jsonl.test.ts	transfer	approved package source/test/build input
packages/agent/test/harness/session-v4/memory.test.ts	transfer	approved package source/test/build input
packages/agent/test/harness/session-v4/reducer.test.ts	transfer	approved package source/test/build input
packages/agent/test/harness/session.test.ts	transfer	approved package source/test/build input
packages/agent/test/harness/skills.test.ts	transfer	approved package source/test/build input
packages/agent/test/harness/sqlite-migrations.test.ts	transfer	approved package source/test/build input
packages/agent/test/harness/sqlite-node.test.ts	transfer	approved package source/test/build input
packages/agent/test/harness/storage.test.ts	transfer	approved package source/test/build input
packages/agent/test/harness/system-prompt.test.ts	transfer	approved package source/test/build input
packages/agent/test/harness/telemetry.test.ts	transfer	approved package source/test/build input
packages/agent/test/harness/tool-context.types.ts	transfer	approved package source/test/build input
packages/agent/test/harness/tools.test.ts	transfer	approved package source/test/build input
packages/agent/test/harness/truncate.test.ts	transfer	approved package source/test/build input
packages/agent/test/iteration-budget.test.ts	transfer	approved package source/test/build input
packages/agent/test/scratch/simple.ts	transfer	approved package source/test/build input
packages/agent/test/utils/calculate.ts	transfer	approved package source/test/build input
packages/agent/test/utils/get-current-time.ts	transfer	approved package source/test/build input
packages/agent/tsconfig.build.json	transfer	approved package source/test/build input
packages/agent/vitest.config.ts	transfer	approved package source/test/build input
packages/agent/vitest.harness.config.ts	transfer	approved package source/test/build input
